# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
parser.CSS.size.bytes,1734991254681000000,1734991314775000000,1085571
lexer.CSS.time.ns,1734991254681000000,1734991314775000000,199324057
parser.SCSS.time.ns,1734991254681000000,1734991314775000000,193385539
lexer.JSON.time.ns,1734991254681000000,1734991314775000000,1443713
writeAction.wait.ms,1734991254681000000,1734991314775000000,29
writeAction.count,1734991254681000000,1734991314775000000,43
parser.ECMAScript.6.time.ns,1734991254681000000,1734991314775000000,306758626
lexer.ECMAScript.6.size.bytes,1734991254681000000,1734991314775000000,402996
parser.XML.size.bytes,1734991254681000000,1734991314775000000,6417
writeAction.median.wait.ms,1734991254681000000,1734991314775000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1734991254681000000,1734991314775000000,7370839
parser.ECMAScript.6.size.bytes,1734991254681000000,1734991314775000000,1570855
lexer.CSS.size.bytes,1734991254681000000,1734991314775000000,1085571
parser.XML.time.ns,1734991254681000000,1734991314775000000,6994929
parser.JSON.time.ns,1734991254681000000,1734991314775000000,12876480
DiskQueryRelay.tasksRequested,1734991254681000000,1734991314775000000,185585
lexer.XML.size.bytes,1734991254681000000,1734991314775000000,6417
parser.JSON.size.bytes,1734991254681000000,1734991314775000000,503
DiskQueryRelay.taskWaitingTotalTimeUs,1734991254681000000,1734991314775000000,14603839
lexer.XML.time.ns,1734991254681000000,1734991314775000000,249433
lexer.SCSS.size.bytes,1734991254681000000,1734991314775000000,128330
lexer.JSON.size.bytes,1734991254681000000,1734991314775000000,503
lexer.SCSS.time.ns,1734991254681000000,1734991314775000000,16145174
writeAction.max.wait.ms,1734991254681000000,1734991314775000000,7
parser.SCSS.size.bytes,1734991254681000000,1734991314775000000,128330
parser.CSS.time.ns,1734991254681000000,1734991314775000000,298771146
DiskQueryRelay.tasksExecuted,1734991254681000000,1734991314775000000,185585
Indexes.stubs.lookupDurationMaxMs,1734991254681000000,1734991314775000000,0.0
Indexing.writesQueuedMax,1734991254681000000,1734991314775000000,0
Indexing.writesQueuedMin,1734991254681000000,1734991314775000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1734991254681000000,1734991314775000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1734991254681000000,1734991314775000000,2278
Indexes.entries.lookupDuration90PMs,1734991254681000000,1734991314775000000,0.0
Indexes.stubs.lookups,1734991254681000000,1734991314775000000,1198
Indexes.allKeys.lookups,1734991254681000000,1734991314775000000,2
Indexing.cache.totalCacheAccesses,1734991254681000000,1734991314775000000,1128341
